name,rating,reviews,host_name,address,amenities,safety_rules,house_rules,price,guests,bedrooms,beds,bathrooms,check_in,check_out,country
A Home Overflowing With Love and Laugh,,,Weijia,"Gurgaon , India","Kitchen,Wifi,Free parking on premises,TV,Washing machine,Air conditioning,Gym,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check out: 12:00 pm,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events",2852,2,1,1,,,12:00 pm,India
Compact room for men only Delhi  Akshardham,,,Manish,"New Delhi, Delhi, India","Wifi,Free on-street parking,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Security camera/recording device Show more,Smoke alarm,Show more,Show more,","Check-in: 11:00 am - 11:00 pm,Check out: 10:00 am,Self check-in with building staff,Not suitable for children and infants,No smoking,No pets,No parties or events,Show more,Show more,",720,1,1,1,,11:00 am - 11:00 pm,10:00 am,India
Delhi Single family home,,1.0,Teenu,"New Delhi, Delhi, India","Kitchen,Wifi,Pets allowed,Air conditioning,Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed",1154,2,5,5,,Flexible,11:00 am,India
Garden View  Suite in AB Manor,,,Sarat Chand,"New Delhi, Delhi, India","Free parking on premises,Pool,TV,Air conditioning,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 2:00 pm,Check out: 10:00 am,No smoking,No pets,No parties or events",5706,2,1,1,,After 2:00 pm,10:00 am,India
Cosy Room in a service apartment,,2.0,Shilpa / Sandeep,"New Delhi, Delhi, India","Kitchen,Wifi,Free parking on premises,TV with standard cable/satellite,Washing machine,Dryer,Air conditioning,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Show more,Show more,",1712,2,1,1,1,,,India
Comfortable  Stay in Destiny House,4.67,3.0,Shilpa / Sandeep,"New Delhi, Delhi, India","Kitchen,Wifi,TV with standard cable/satellite,Washing machine,Air conditioning,Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",1712,3,1,1,,,,India
Aunty's Home and Kitchen is a Home stay for ladies,,,Louvella,"Alwar, Rajasthan, India","Kitchen,Wifi,Free parking on premises,Lift,Washing machine,Dryer,Air conditioning,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 11:00 am,Check out: 3:00 pm,Not suitable for children (2-12 years),No smoking,No pets,No parties or events",822,2,2,2,,After 11:00 am,3:00 pm,India
Mala Bindra Bed and Breakfast,5.0,8.0,Dipmala,"New Delhi, Delhi, India","Wifi,TV,Lift,Washing machine,Air conditioning,Hair dryer,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Show more,Show more,",5135,2,1,1,,Flexible,,India
1RK Flat near Cyber City Gurgaon (10 Minutes Walk),5.0,4.0,Shivani,"Gurugram, Haryana, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,","Check-in: After 3:00 pm,Not suitable for children and infants,No smoking,No parties or events,Pets are allowed",4610,2,1,1,5,After 3:00 pm,,India
Budget Rooms in West Delhi 12km from airport,,,Komal,"New Delhi, Delhi, India","Wifi,Washing machine,Refrigerator,Long-term stays allowed,Paid parking off premises,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 10:00 am - 10:00 pm,Check out: 12:00 pm,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events",913,1,1,1,2,10:00 am - 10:00 pm,12:00 pm,India
Def Col Balavihara Double,,1.0,Anirudh,"New Delhi, Delhi, India","Kitchen,Wifi,Free parking on premises,Washing machine,Dryer,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Check out: 4:00 am,Not suitable for children and infants,No smoking,No pets,No parties or events",7988,2,,,,Flexible,4:00 am,India
Private Studio Apartment with Bath and Balcony,,,Jai Guru Ji,"New Delhi, Delhi, India","Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 11:00 am - 10:00 pm,No pets,No parties or events,󱤇,Smoking is allowed",1727,2,1,1,,11:00 am - 10:00 pm,,India
Unique 1 private bedroom in a Villa,,,Prerna,"Greater Noida, Uttar Pradesh, India","Kitchen,Wifi,Free parking on premises,TV,Washing machine,Air conditioning,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,Security camera/recording device Show more,󱠁,Carbon monoxide detector not required Show more,Show more,Show more,",Check-in: Flexible,5706,2,1,1,,Flexible,,India
A Home you may Love to get peace away from crowd,,,Aiache,"New Delhi, Delhi, India","Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 3:00 pm,No smoking,No pets",2853,2,1,1,,After 3:00 pm,,India
"Rainam hotel 
delightful Room peaceful atmosphere",,,Poonam,"Gurugram, Haryana, India","Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",No Safety Rules Provided,No House Rules Provided,3424,2,1,1,,,,India
"Photoshoot, Wedding Celebrations & much more",,,Akshay Kumar,"New Delhi, Delhi, India","Kitchen,Free parking on premises,Pool,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,",Check-in: After 3:00 pm,99999,16,1,1,5,After 3:00 pm,,India
"Garden facing quaint 
Studio",4.71,7.0,Chaitanya,"Delhi, India","Kitchen,Wifi,Free parking on premises,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 12:00 pm,Check out: 11:00 am",2068,3,1,1,5,After 12:00 pm,11:00 am,India
"Lovely 1bhk
400meters away from metro station",,,Isaac,"Faridabad, Haryana, India","Valley view,Kitchen,Fast wifi – 56 Mbps,Dedicated workspace,Free driveway parking on premises – 1 space,Paid washer – In unit,Window AC unit,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check out: 3:00 pm,Not suitable for children and infants,No smoking,No pets,No parties or events,Show more,Show more,",795,1,1,1,,,3:00 pm,India
"Room in Kirti Home Stay,  Pashchim Vihar, W. Delhi",,,Asha,"Delhi, India","Wifi,Dedicated workspace,Free on-street parking,Paid washing machine,Air conditioning,Patio or balcony,Garden,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,󱠁,Carbon monoxide detector not required Show more,Show more,Show more,","Check-in: 12:00 pm - 5:00 pm,Check out: 12:00 pm,Not suitable for children and infants,No smoking,No pets,No parties or events,Show more,Show more,",1800,2,1,1,,12:00 pm - 5:00 pm,12:00 pm,India
Cozy Comfortable Stay!!!,,,Jai Guru Ji,India,"Wifi,Free parking on premises,TV,Air conditioning,Hair dryer,Smoking allowed,Long-term stays allowed","󹀁,Airbnb's COVID-19 safety practices apply,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: 11:00 am - 11:00 pm,Self check-in with building staff,No pets,󱤇,Smoking is allowed",923,2,1,1,,11:00 am - 11:00 pm,,India
NEW DELHI FAMILY ACCOMMODATION @ Malviya Nagar,,1.0,Rakesh,"New Delhi, Delhi, India","Kitchen,Wifi,TV with standard cable/satellite,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","No smoking,No pets,No parties or events,Show more,Show more,",2167,3,1,1,1,,,India
Himalayan Cave Home,5.0,6.0,Ketan,"Rishikesh, Uttarakhand, India","Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,Bath,Shared backyard – Not fully fenced,Fire pit,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 1:00 pm - 5:00 pm,Check out: 9:00 am,Pets are allowed,󱤇,Smoking is allowed",1598,4,2,2,,1:00 pm - 5:00 pm,9:00 am,India
👩🏼‍💻Workation-Studio room w/ Ganges🔍 At Founders home,4.95,39.0,Saurabh,"Muni Ki Reti, Rishikesh, Uttarakhand, India","Mountain view,River view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,TV with standard cable/satellite","󹀁,Airbnb's COVID-19 safety practices apply,Pool/hot tub without a gate or lock,Nearby lake, river, other body of water,Climbing or play structure,Carbon monoxide alarm,Show more,Show more,","Check-in: After 2:00 pm,Self check-in with building staff,Not suitable for children and infants,No parties or events,Pets are allowed,󱤇,Smoking is allowed",4500,2,1,1,,After 2:00 pm,,India
🧑🏼‍💻Workation-360 Ganges View 🏞 Room at Founders Home,4.96,28.0,Saurabh,"Muni Ki Reti, Rishikesh, Uttarakhand, India","City skyline view,Courtyard view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Pets allowed,TV with standard cable/satellite","󹀁,Airbnb's COVID-19 safety practices apply,Pool/hot tub without a gate or lock,Nearby lake, river, other body of water,Climbing or play structure,Carbon monoxide alarm,Show more,Show more,","Check-in: After 2:00 pm,Self check-in with building staff,Not suitable for children and infants,Pets are allowed,󱤇,Smoking is allowed",4674,2,1,1,5,After 2:00 pm,,India
Triveni Cottage,4.6,5.0,Anshul,"Rishikesh, Uttarakhand, India","Mountain view,Valley view,Public or shared beach access,Kitchen,Wifi,Free on-street parking,Bath,Sound system,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: After 11:00 am,Check out: 11:00 am,Self check-in with lockbox,No pets,󱤇,Smoking is allowed",1027,2,1,1,,After 11:00 am,11:00 am,India
Yoga Padma Rishikesh House,4.74,109.0,Raj,"Rishikesh, UK, India","Kitchen,Wifi,Free parking on premises,Paid washer – In building,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,Self check-in with building staff,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events,Show more,Show more,",980,4,2,2,,After 2:00 pm,12:00 pm,India
King Room - walking distance to the Taj Mahal,4.81,225.0,Ranjana,"Agra, Uttar Pradesh, India","Kitchen,Wifi,TV with standard cable/satellite,Lift,Air conditioning,Patio or balcony,Luggage drop-off allowed,Hair dryer,Long-term stays allowed,Security cameras on property","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: 2:00 pm - 12:00 am,Check out: 11:00 am,No smoking,No pets,No parties or events,Show more,Show more,",4585,3,1,1,,2:00 pm - 12:00 am,11:00 am,India
1 bedroom with free parking and wifi,,1.0,Simran,"Dehradun, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared patio or balcony,Children’s books and toys,Refrigerator,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,",Check-in: After 2:00 pm,913,2,1,1,,After 2:00 pm,,India
Cheerful & vibrant 'The Celebre'- Little Castle,5.0,3.0,Verma,"Sakalana Range, Uttarakhand, India","Mountain view,Park view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Security camera/recording device Show more,Nearby lake, river, other body of water,Show more,Show more,","Check-in: After 1:00 pm,Check out: 11:00 am,Self check-in with building staff,No smoking,Pets are allowed,Show more,Show more,",6276,2,1,1,,After 1:00 pm,11:00 am,India
Buransh ( Super deluxe ),5.0,3.0,Shikha,"Dehradun, Uttarakhand, India","Garden view,Mountain view,Kitchen,Wifi,Free on-street parking,TV,Lift,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check out: 12:00 pm,Self check-in with building staff,No pets,No parties or events,󱤇,Smoking is allowed",3994,2,1,1,,,12:00 pm,India
AC Pvt. Room 03+Living Room+Kitchen+Balcony+ Wi-fi,,1.0,Sabiha,"New Delhi, Delhi, India","Kitchen,Wifi,Free parking on premises,TV,Washing machine,Air conditioning,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 8:00 am - 10:00 pm,Check out: 12:00 pm,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",1940,2,1,1,,8:00 am - 10:00 pm,12:00 pm,India
Raj Niketan Homestay,4.75,40.0,Raj,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Washing machine,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,Self check-in with smart lock,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events,Show more,Show more,",980,2,1,1,,After 2:00 pm,12:00 pm,India
2 Bedroom Set in a Modern Stylish Villa,5.0,5.0,Siddharth,"Dehradun, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Air conditioning,Private patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,","Check-in: 12:00 pm - 10:00 pm,Check out: 11:00 am,󱤇,Smoking is allowed",2967,4,2,2,2,12:00 pm - 10:00 pm,11:00 am,India
Col Sharma's Homestay A/C Room-1,4.83,128.0,Rita,"Agra, Uttar Pradesh, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Paid washer – In building,Dryer,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: Flexible,Self check-in with building staff,No pets,󱤇,Smoking is allowed,Show more,Show more,",2852,2,1,1,,Flexible,,India
Air view homestay (Netflix +prime video),,,Nisha,"Jaipur, Rajasthan, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,TV,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,󱠁,Carbon monoxide detector not required Show more,Show more,Show more,","Check-in: 1:00 pm - 10:00 pm,Check out: 11:00 am,No parties or events,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",1369,3,1,1,,1:00 pm - 10:00 pm,11:00 am,India
Shama Luxe (D) 1 Bedroom unit with  free parking,,2.0,Masoom,"Dehradun, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,TV,Washing machine,Dryer,Air conditioning,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 9:00 am,Not suitable for children (2-12 years),No smoking,No pets,No parties or events,Show more,Show more,",1712,2,1,1,5,After 9:00 am,,India
1-Bedroom Riverside Cottage in Dehradun,,,Sumant,"Dehradun, Uttarakhand, India","Mountain view,Valley view,Wifi,Dedicated workspace,TV,Air conditioning,Bath,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,","Check-in: After 11:00 am,Check out: 11:00 am,Show more,Show more,",5364,4,1,1,,After 11:00 am,11:00 am,India
Maharaja Homestay(Homestay Near Tajmahal)- 4 Rooms,4.94,17.0,Chandan Kumar,"Agra, Uttar Pradesh, India","Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Shared patio or balcony,Shared garden,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: After 12:00 pm,Check out: 11:00 am,Self check-in with building staff,No pets,No parties or events,󱤇,Smoking is allowed",6161,8,4,4,4,After 12:00 pm,11:00 am,India
Premium Boutique Suite in the Mountains [Devi Lok],,,Ragini,"Thanigaon, Uttarakhand, India","Free parking on premises,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","No smoking,No pets,No parties or events",3994,2,1,1,,,,India
MINI PARADISE with gorgeous view,4.88,16.0,Prem,"Dehradun, UK, India","Kitchen,Free parking on premises,Washing machine,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 10:00 am - 12:00 pm,Check out: 12:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",2862,2,1,1,,10:00 am - 12:00 pm,12:00 pm,India
Col Sharma's Homestay A/C Room,4.95,42.0,Rita,"Agra, Uttar Pradesh, India","Kitchen,Wifi,Free parking on premises,TV,Paid washer – In building,Dryer,Air conditioning,Patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: Flexible,Self check-in with building staff,No pets,󱤇,Smoking is allowed,Show more,Show more,",2852,4,1,1,,Flexible,,India
Safe In-school WFH residences in tranquil environs,,,Arpit,"Raiwala, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Pets allowed,Washing machine,Bath,Patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,Security camera/recording device Show more,Nearby lake, river, other body of water,May encounter potentially dangerous animals,Show more,Show more,","Check-in: 11:00 am - 7:00 pm,Check out: 6:00 pm,Not suitable for infants (under 2 years),No parties or events,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",5716,16,9,9,12,11:00 am - 7:00 pm,6:00 pm,India
Jungle lodge Home Stay,4.52,66.0,Ashok,"Bharatpur, Rajasthan, India","Kitchen,Wifi,Free parking on premises,Pets allowed,Air conditioning,Garden,Indoor fireplace,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Smoke alarm,Show more,Show more,","Check-in: After 12:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed",1484,4,2,2,2,After 12:00 pm,11:00 am,India
Cheerful 1 Bedroom in a Residential Home in Jaipur Near Jaipur International And,,,Jitesh,"Jaipur, Rajasthan, India","Wifi,Dedicated workspace,Free parking on premises,Air conditioning,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,",Self check-in with lockbox,3112,2,1,1,,,,India
Experience Indian Luxury near Taj mahal,,2.0,Sanjay,"Agra, Uttar Pradesh, India","Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV with standard cable/satellite,Air conditioning,Patio or balcony,Garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 1:00 pm,Check out: 11:00 am,No parties or events,Pets are allowed",2772,2,1,1,,After 1:00 pm,11:00 am,India
away from city chaos,,,Simran,"Dehradun, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Air conditioning,Bath,Children’s books and toys for ages 5–10 years old,Fire pit,Refrigerator,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 2:00 pm,Show more,Show more,",3424,4,2,2,2,After 2:00 pm,,India
Private room in Anand Bhawan.,,,Gaurav,"Manda Khal, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 12:00 pm - 8:00 pm,Check out: 11:00 am,No parties or events,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",937,2,1,1,2,12:00 pm - 8:00 pm,11:00 am,India
HomeStay Near The Taj Mahal,4.88,8.0,Beena,"Agra, Uttar Pradesh, India","Kitchen,Wifi,Free parking on premises,TV,Washing machine,Dryer,Air conditioning,Hair dryer,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Smoke alarm,Show more,Show more,","Check-in: After 2:00 pm,Check out: 11:00 am,No smoking,No pets,No parties or events,Show more,Show more,",2799,2,1,1,,After 2:00 pm,11:00 am,India
Become a family Whole homestay,4.53,17.0,Viv Suneel,"Agra, Uttar Pradesh, India","Kitchen,Wifi,Free parking on premises,TV,Washing machine,Air conditioning,Patio or balcony,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Check out: 12:00 pm,Self check-in with building staff,No pets,󱤇,Smoking is allowed",1711,7,2,2,2,Flexible,12:00 pm,India
